,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date
0,6hIr2IDeBDXfRFk0rYe5Tz,Won’t Stand Down,209061,12Chz98pHFMPJEknJQMWvI,Muse,3bbeAIMaGSW6gUMeGqw5VS,Won’t Stand Down,2022-01-13
1,7nFYanHZvmfme8zVhJhZ8Y,Quicksand,134040,3YcBF2ttyueytpXtEzn1Za,Incubus,5WwXMygJ3dQXk3S6mDDfCH,Light Grenades,2006-11-28
2,4gHnSNHs8RyVukKoWdS99f,Something In The Way,232146,6olE6TJLqED3rqDCT0FyPh,Nirvana,2UJcKiJxNryhL050F5Z1Fk,Nevermind (Remastered),1991-09-26
3,7D0RhFcb3CrfPuTJ0obrod,Sparks,227093,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10
4,7e5oI26aeiQQlOnqFaRGCx,Artificial Red,374920,0T7JQxpy1Li93vLNirbv0Z,Mad Season,1cqta2uSKVYdom7CRMGDwn,Above (Deluxe Edition),1995
5,18lR4BzEs7e3qzc0KVkTpU,What I've Done,205613,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,2007-05-14
6,5sFDReWLrZHLFZFjHsjUTS,Would?,206773,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,58NXIEYqmq5dQHg9nV9duM,Dirt,1992-09-29
7,00jXDm9BLNZdf2QC3Br0r7,Space Dementia,380760,12Chz98pHFMPJEknJQMWvI,Muse,1Dh27pjT3IEdiRG9Se5uQn,Origin of Symmetry,2001
8,5f67RP41LJxJSPPgbFSTrM,"Earth to Bella, Pt. 1",148200,3YcBF2ttyueytpXtEzn1Za,Incubus,5WwXMygJ3dQXk3S6mDDfCH,Light Grenades,2006-11-28
9,2amzrvbxYiq8AxGntIiw5V,Fall to Pieces,271240,7CHilrn81OdYjkh4uSVnYM,Velvet Revolver,64GnrmrpL1fvfF0r1AoZLB,Contraband,2004
10,46HNZY1i7O6jwTA7Slo2PI,My Universe,226198,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,2021-10-15
11,1Ic9pKxGSJGM0LKeqf6lGe,All Apologies,233173,6olE6TJLqED3rqDCT0FyPh,Nirvana,7wOOA7l306K8HfBKfPoafr,In Utero - 20th Anniversary Remaster,1993-09-21
12,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,166373,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,2007-05-14
13,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,250546,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,30ly6F6Xl0TKmyBCU50Khv,The Colour And The Shape,1997-05-20
14,7qzFXUvBk7lELXuxVREypV,Nearly Lost You,247093,3Ukr3Ufjg8ygRJv7Ww887f,Screaming Trees,3SOcm48I0DOX1KEHF2IEVY,Sweet Oblivion,1992
15,7BxQJTzBjhfpx8PVT1qASg,Hyper Music,201506,12Chz98pHFMPJEknJQMWvI,Muse,1Dh27pjT3IEdiRG9Se5uQn,Origin of Symmetry,2001
16,7kF1iPJTj3VFJX9XokQ80F,Slither,248306,7CHilrn81OdYjkh4uSVnYM,Velvet Revolver,64GnrmrpL1fvfF0r1AoZLB,Contraband,2004
17,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,295533,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,4E7bV0pzG0LciBSWTszra6,X&Y,2005-06-07
18,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,281160,6olE6TJLqED3rqDCT0FyPh,Nirvana,6ohX7moZZnF1FwYrli1OJ6,In Utero - 20th Anniversary - Deluxe Edition,1993-09-21
19,1aKNbn5AsDWydycvr1gYBa,Bubbles,301080,1km0R7wy712AzLkA1WjKET,Biffy Clyro,6Ch5ZsoMxpy5Ef2i4mGILh,Only Revolutions,2009-11-06
