,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,7zwddyEol0Hg5K8HQd3srX,La Caoba,159744,1TZG0boEXBMRfxjj1nH6TM,Sayulita,1hOREuWfjR7rdZsu7J4aMW,La Caoba,2021-11-05,0.063,0.0295,8,-30.552,0,0.0425,0.864,0.866,0.104,0.117,65.408
1,0f5IlhiVWUUq4SGHyrRxIt,Viento Estelar,185943,1Ww4X8PlwRBiocjYoAoQ4N,Universo,5ILrjJzxzyn3h8CCdRQszR,Galaxia,2021-01-18,0.141,0.0405,3,-29.013,1,0.0382,0.965,0.966,0.0983,0.0378,59.418
2,07UDTaRYJAsIhUZTyZSUzM,Ons,193239,518pvehpCn4yp3oJJbr6zA,Huma,2cdvRClGJPAHpK0ACSFSfu,Ons,2021-10-22,0.111,0.0185,0,-32.335,1,0.0424,0.957,0.94,0.087,0.0459,76.153
3,1heAYXQYiL5e2VBRClCaif,Atwined,140250,32fb0CzojuxZhDwienUYu5,Leonid Antonov,6TTy6hUzyFliywFJLXfYsk,Atwined,2021-10-22,0.175,0.00327,5,-37.357,1,0.048,0.981,0.884,0.0987,0.051,66.529
4,7etqolbqNqTmybDTIN77pt,Epiphany,172090,5u8vwlOeUEwxaklbfP6cnG,Aari Kumar,3QhvbpLgFT2pHsxdirqLW7,Epiphany,2021-12-19,0.0907,0.0423,5,-33.884,1,0.0316,0.99,0.864,0.0973,0.199,72.341
5,2iOKDbXoqcTENod90jSmcH,Answers,178000,4VIdNbofDE1Txze8n5jshd,Elmer Loyd,6L7t3tZ2gQAJ3CYhM4joVp,Answers,2021-05-28,0.169,0.0272,10,-32.426,1,0.0454,0.916,0.758,0.103,0.037,73.163
6,3ISWnR8CHeuUaghZXPbfRa,Liquid Dream - Piano Version,202042,6PKn0AB4MUWk51WWdZLPMd,Alec Wynter,5J3aYIH6tZuEVQuf1Jvl92,Liquid Dream - Piano Version,2021-10-14,0.169,0.0309,8,-33.357,1,0.038,0.895,0.956,0.116,0.039,75.185
7,2WGKo3sflN4aUNtesZw4Py,La Cascada,181000,1TZG0boEXBMRfxjj1nH6TM,Sayulita,2zfjHiF04uCEQEBMrrp6aX,Bella Unión,2021-05-28,0.162,0.0286,6,-29.408,0,0.038,0.853,0.812,0.102,0.114,74.131
8,1qVYn3HKHjga2franlJdU1,Quand la neige tombe,172374,3ETsEsGHY5HlPjh1lxVtG8,Emmeline Ralph,0WS3vyLeMR9nNvvRf9c0fO,Quand la neige tombe,2021-10-15,0.108,0.0164,2,-34.316,1,0.0373,0.908,0.72,0.094,0.0901,68.154
9,2VTvUT7mn0fEh39q5yh0KW,A Illa,202281,518pvehpCn4yp3oJJbr6zA,Huma,3IEHeEPfmdzzFzTmT2FNWK,A Illa,2021-10-29,0.0653,0.0636,4,-26.674,1,0.0406,0.91,0.803,0.102,0.032,74.512
